DateTime,Entries,UniqueIPs
1543669007,569,569
1543670101,564,564
1543671760,566,566
1543672603,567,567
1543673682,564,564
1543675361,556,556
1543676208,555,555
1543677289,551,551
1543680358,553,553
1543680880,557,557
1543682142,551,551
1543684493,553,553
1543685762,555,555
1543687010,564,564
1543688153,563,563
1543689988,560,560
1543691456,565,565
1543693255,565,565
1543694202,566,566
1543695280,563,563
1543696972,554,554
1543698182,548,548
1543699903,552,552
1543701946,555,555
1543702481,559,559
1543704161,554,554
1543705000,550,550
1543706157,546,546
1543707762,545,545
1543709185,548,548
1543710345,551,551
1543711375,550,550
1543712202,551,551
1543713355,549,549
1543715444,546,546
1543716882,550,550
1543718458,550,550
1543720261,551,551
1543722056,543,543
1543724105,538,538
1543725765,533,533
1543726606,531,531
1543727706,525,525
1543729368,525,525
1543731294,521,521
1543732553,518,518
1543733760,522,522
1543734886,518,518
1543737350,515,515
1543738482,516,516
1543739853,515,515
1543740998,515,515
1543742093,515,515
1543742927,516,516
1543744560,515,515
1543745713,509,509
1543746539,513,513
1543748201,510,510
1543749286,510,510
1543750555,506,506
1543752343,507,507
1543754446,505,505
1543756247,503,503
1543758170,507,507
1543760081,508,508
1543760938,510,510
1543761762,509,509
1543763445,507,507
1543765252,504,504
1543767304,508,508
1543768138,509,509
1543769336,505,505
1543770522,505,505
1543772562,502,502
1543774479,498,498
1543775326,500,500
1543776899,500,500
1543778935,501,501
1543780634,500,500
1543781749,498,498
1543782537,502,502
1543784403,494,494
1543785650,497,497
1543786125,498,498
1543788186,494,494
1543789730,496,496
1543790579,493,493
1543792493,494,494
1543794165,496,496
1543795002,497,497
1543796156,495,495
1543797763,494,494
1543798601,496,496
1543799800,494,494
1543800970,494,494
1543802215,498,498
1543803357,500,500
1543804584,498,498
1543806886,499,499
1543808802,495,495
1543810559,494,494
1543812943,499,499
1543814086,498,498
1543815848,494,494
1543816607,495,495
1543817798,496,496
1543819411,488,488
1543821136,489,489
1543822994,486,486
1543823820,489,489
1543824978,491,491
1543826085,489,489
1543827390,493,493
1543828580,496,496
1543830157,495,495
1543831038,497,497
1543832189,497,497
1543833020,497,497
1543835295,501,501
1543836631,505,505
1543837363,508,508
1543838348,506,506
1543839505,508,508
1543840901,506,506
1543842707,505,505
1543844594,508,508
1543846003,511,511
1543847293,516,516
1543849005,511,511
1543850091,509,509
1543851783,512,512
1543853689,506,506
1543855247,506,506
1543857286,513,513
1543858543,512,512
1543860216,512,512
1543861541,523,523
1543862762,525,525
1543863409,528,528
1543864574,522,522
1543866161,528,528
1543868086,529,529
1543869760,529,529
1543870597,528,528
1543871702,529,529
1543873370,524,524
1543874201,527,527
1543875293,525,525
1543876131,530,530
1543877538,527,527
1543878659,528,528
1543879725,530,530
1543881346,532,532
1543882482,534,534
1543883326,536,536
1543885860,531,531
1543887763,527,527
1543888603,530,530
1543889760,529,529
1543890902,529,529
1543892097,529,529
1543892218,530,530
1543893357,529,529
1543894967,531,531
1543896961,535,535
1543898156,537,537
1543899357,537,537
1543900547,535,535
1543901701,538,538
1543903599,540,540
1543905765,540,540
1543907459,541,541
1543909376,543,543
1543911297,546,546
1543912141,550,550
1543914516,544,544
1543915799,542,542
1543917429,544,544
1543918497,546,546
1543919324,551,551
1543920187,550,550
1543922091,551,551
1543923291,553,553
1543924513,553,553
1543925797,554,554
1543926534,558,558
1543927661,555,555
1543929057,555,555
1543929289,556,556
1543930662,560,560
1543931825,561,561
1543932900,562,562
1543934623,559,559
1543936656,563,563
1543937754,563,563
1543939006,567,567
1543940157,565,565
1543941417,564,564
1543942558,567,567
1543943694,559,559
1543944947,560,560
1543946148,567,567
1543947360,570,570
1543948655,571,571
1543950892,568,568
1543952454,574,574
1543954494,574,574
1543955332,576,576
1543956947,581,581
1543958449,577,577
1543959654,574,574
1543961149,573,573
1543962526,577,577
1543965318,568,568
1543966137,569,569
1543967807,565,565
1543969722,566,566
1543970574,564,564
1543972249,565,565
1543973527,562,562
1543975020,562,562
1543976102,562,562
1543977442,562,562
1543979472,560,560
1543980536,561,561
1543982145,556,556
1543983295,555,555
1543984965,555,555
1543985807,556,556
1543986993,557,557
1543988462,558,558
1543990491,560,560
1543992186,560,560
1543994089,559,559
1543995347,560,560
1543997803,560,560
1543998605,558,558
1544000984,559,559
1544002288,555,555
1544003834,560,560
1544005003,560,560
1544006604,561,561
1544007422,564,564
1544008490,565,565
1544010170,572,572
1544011555,575,575
1544012743,578,578
1544014004,577,577
1544015480,576,576
1544016532,577,577
1544017837,576,576
1544019292,574,574
1544020449,571,571
1544021806,577,577
1544022921,576,576
1544023738,580,580
1544024968,581,581
1544026251,580,580
1544028161,575,575
1544029854,571,571
1544031764,564,564
1544032600,563,563
1544033678,566,566
1544034541,568,568
1544036150,569,569
1544037290,562,562
1544038843,562,562
1544040224,557,557
1544041555,562,562
1544042565,558,558
1544044484,558,558
1544045340,559,559
1544047550,553,553
1544048699,554,554
1544050003,549,549
1544051718,551,551
1544052529,552,552
1544054757,555,555
1544056544,557,557
1544057803,557,557
1544058979,553,553
1544061412,553,553
1544062558,554,554
1544064164,555,555
1544065017,557,557
1544066111,556,556
1544067673,554,554
1544069694,555,555
1544070596,553,553
1544071365,555,555
1544072207,555,555
1544073285,550,550
1544074883,562,562
1544076898,563,563
1544078171,564,564
1544080261,562,562
1544081506,562,562
1544082618,561,561
1544084121,559,559
1544085360,564,564
1544086592,568,568
1544087700,569,569
1544089375,565,565
1544090811,563,563
1544092971,561,561
1544094656,557,557
1544095732,560,560
1544096577,559,559
1544097422,561,561
1544098493,561,561
1544100164,554,554
1544102085,560,560
1544102934,565,565
1544103766,561,561
1544104605,561,561
1544105771,563,563
1544107688,569,569
1544108205,572,572
1544110128,588,588
1544111324,595,595
1544112693,606,606
1544112939,610,610
1544114558,628,628
1544115403,631,631
1544116573,642,642
1544118166,648,648
1544119010,649,649
1544120091,651,651
1544121323,649,649
1544121763,655,655
1544122610,668,668
1544123753,679,679
1544125555,694,694
1544126754,687,687
1544128130,696,696
1544129803,701,701
1544130953,705,705
1544132138,707,707
1544132561,711,711
1544133967,724,724
1544136162,742,742
1544138041,753,753
1544138941,768,768
1544140137,785,785
1544141694,788,788
1544143369,789,789
1544145062,790,790
1544146130,796,796
1544147813,802,802
1544148958,808,808
1544150141,809,809
1544150561,811,811
1544152129,808,808
1544154169,813,813
1544155021,815,815
1544156994,817,817
1544158549,834,834
1544159686,841,841
1544161169,858,858
1544162221,868,868
1544164138,880,880
1544164982,891,891
1544166293,901,901
1544167431,913,913
1544168839,906,906
1544169416,908,908
1544170498,908,908
1544172169,911,911
1544173776,912,912
1544175120,909,909
1544177201,910,910
1544178541,913,913
1544179998,910,910
1544181283,908,908
1544182137,910,910
1544183807,910,910
1544184977,907,907
1544186117,907,907
1544187415,911,911
1544188487,908,908
1544189325,907,907
1544190943,906,906
1544192155,906,906
1544193653,905,905
1544195035,910,910
1544196624,911,911
1544198111,924,924
1544199351,925,925
1544200967,930,930
1544201804,929,929
1544202880,932,932
1544203736,933,933
1544205042,936,936
1544206250,936,936
1544208390,938,938
1544210089,946,946
1544210923,945,945
1544212184,939,939
1544213452,934,934
1544214527,937,937
1544217096,939,939
1544218973,943,943
1544220350,943,943
1544221883,939,939
1544223363,943,943
1544224514,942,942
1544225323,946,946
1544226585,947,947
1544228097,948,948
1544228939,954,954
1544230609,950,950
1544231690,947,947
1544235298,945,945
1544237203,950,950
1544237814,953,953
1544238902,953,953
1544240818,947,947
1544241959,947,947
1544243333,953,953
1544244163,944,944
1544245010,947,947
1544246100,942,942
1544247762,947,947
1544249154,942,942
1544250663,936,936
1544252205,937,937
1544254130,939,939
1544255744,938,938
1544256956,942,942
1544258459,945,945
1544260490,954,954
1544261335,963,963
1544263012,985,985
1544264097,999,999
1544265658,1005,1005
1544267690,1013,1013
1544269375,1021,1021
1544270766,1031,1031
1544271939,1033,1033
1544272979,1027,1027
1544274647,1027,1027
1544275730,1030,1030
1544277908,1030,1030
1544279129,1033,1033
1544280394,1016,1016
1544282078,1008,1008
1544282927,1011,1011
1544283770,995,995
1544285147,980,980
1544286343,1003,1003
1544287374,1014,1014
1544289354,1029,1029
1544290126,1042,1042
1544291813,1053,1053
1544292894,1043,1043
1544293722,1045,1045
1544294562,1031,1031
1544296257,1036,1036
1544297540,1041,1041
1544298642,1047,1047
1544300078,1059,1059
1544300934,1068,1068
1544301772,1069,1069
1544303685,1076,1076
1544305259,1081,1081
1544306219,1081,1081
1544307364,1075,1075
1544308859,1070,1070
1544310774,1076,1076
1544312152,1080,1080
1544313406,1085,1085
1544314562,1085,1085
1544315337,1086,1086
1544316951,1086,1086
1544318161,1083,1083
1544318922,1087,1087
1544319761,1084,1084
1544321161,1086,1086
1544322706,1088,1088
