DateTime,Entries,UniqueIPs
1543869871,2215,2215
1543871772,2218,2218
1543873602,2228,2228
1543875858,2223,2223
1543877791,2214,2214
1543879718,2218,2218
1543881880,2653,2653
1543883801,2644,2644
1543885723,2660,2660
1543887638,2664,2664
1543889564,2674,2674
1543891718,2685,2685
1543893874,2684,2684
1543895793,2706,2706
1543897742,2717,2717
1543899680,2742,2742
1543901560,2753,2753
1543903482,2756,2756
1543905403,2763,2763
1543907325,2789,2789
1543909245,2802,2802
1543911142,2800,2800
1543913076,2806,2806
1543915003,2800,2800
1543916911,2815,2815
1543918812,2821,2821
1543921008,2823,2823
1543923139,1585,1585
1543925564,2188,2188
1543927469,2183,2183
1543929369,2186,2186
1543931311,2202,2202
1543933206,2205,2205
1543935127,2219,2219
1543937068,2226,2226
1543938998,2235,2235
1543940915,2244,2244
1543942823,2240,2240
1543944757,2255,2255
1543946659,2260,2260
1543948597,2261,2261
1543950523,2261,2261
1543952914,2279,2279
1543955058,2293,2293
1543956971,2292,2292
1543958894,2281,2281
1543960983,2278,2278
1543962966,2275,2275
1543964921,2272,2272
1543966826,2246,2246
1543969015,2781,2781
1543970911,2811,2811
1543972838,2804,2804
1543974744,2814,2814
1543976657,2816,2816
1543978594,2815,2815
1543980518,2812,2812
1543982688,2813,2813
1543984591,2802,2802
1543986509,2804,2804
1543988441,2809,2809
1543990606,2806,2806
1543992739,2812,2812
1543994677,2841,2841
1543996596,2860,2860
1543998746,2872,2872
1544000928,2867,2867
1544002838,2871,2871
1544004762,2886,2886
1544006674,2895,2895
1544008582,1572,1572
1544010756,1603,1603
1544012677,2215,2215
1544014864,2227,2227
1544016759,2243,2243
1544018684,2259,2259
1544020600,2281,2281
1544022499,2292,2292
1544024438,2299,2299
1544026645,2305,2305
1544028528,2298,2298
1544030676,2306,2306
1544032590,2330,2330
1544034493,2334,2334
1544036423,2326,2326
1544038349,2324,2324
1544040285,2331,2331
1544042169,2359,2359
1544044367,2349,2349
1544046253,2343,2343
1544048319,2329,2329
1544050361,2318,2318
1544052283,2314,2314
1544054167,2323,2323
1544056094,2874,2874
1544058261,2863,2863
1544060442,2864,2864
1544062341,2860,2860
1544064255,2855,2855
1544066184,2849,2849
1544068338,2856,2856
1544070276,2853,2853
1544072200,2843,2843
1544074360,2855,2855
1544076287,2859,2859
1544078202,2859,2859
1544080362,2867,2867
1544082252,2876,2876
1544084423,2891,2891
1544086362,2904,2904
1544088275,2909,2909
1544090171,2900,2900
1544092112,2891,2891
1544094047,1593,1593
1544095940,1583,1583
1544097876,2216,2216
1544099800,2221,2221
1544101717,2223,2223
1544103610,2228,2228
1544105542,2238,2238
1544107454,2242,2242
1544109401,2245,2245
1544111291,2255,2255
1544113215,2263,2263
1544115136,2292,2292
1544117073,2314,2314
1544118973,2356,2356
1544120893,2396,2396
1544122838,2435,2435
1544124739,2452,2452
1544126674,2480,2480
1544128572,2478,2478
1544130531,2486,2486
1544132435,2480,2480
1544134362,2459,2459
1544136258,2454,2454
1544138236,2453,2453
1544140338,2426,2426
1544142277,3019,3019
1544144193,3020,3020
1544146112,3022,3022
1544148023,3014,3014
1544149962,3016,3016
1544151858,3023,3023
1544153804,3023,3023
1544155697,3017,3017
1544157621,3029,3029
1544159550,3016,3016
1544161456,3005,3005
1544163375,3012,3012
1544165305,2999,2999
1544167496,3009,3009
1544169382,2998,2998
1544171314,3001,3001
1544173239,3044,3044
1544175166,3063,3063
1544177092,3071,3071
1544178971,3081,3081
1544180926,1760,1760
1544182814,1771,1771
1544184765,2362,2362
1544186673,2366,2366
1544188587,2367,2367
1544190737,2386,2386
1544192656,2390,2390
1544194590,2399,2399
1544196737,2408,2408
1544198683,2413,2413
1544200571,2416,2416
1544202520,2425,2425
1544204443,2433,2433
1544206364,2427,2427
1544208272,2431,2431
1544210205,2430,2430
1544212354,2431,2431
1544214277,2421,2421
1544216173,2418,2418
1544218111,2423,2423
1544220024,2424,2424
1544221958,2451,2451
1544223885,2474,2474
1544225781,2500,2500
1544227727,3025,3025
1544229642,3024,3024
1544231567,3027,3027
1544233457,3031,3031
1544235403,3021,3021
1544237335,3025,3025
1544239215,3026,3026
1544241156,3019,3019
1544243058,3018,3018
